job_#,doc_#,borough,initial_cost,total_est_fee,existing_zoning_sqft,proposed_zoning_sqft,enlargement_sq_footage,street_frontage,existingno._of_stories,proposed_no._of_stories,existing_height,proposed_height
420828313,01,QUEENS,20000,419.5,0,0,0,0,2,2,22,22
520129129,01,STATEN ISLAND,0,100,0,0,0,0,0,0,0,0
320742808,02,BROOKLYN,0,0,0,0,0,0,0,0,0,0
121571593,01,MANHATTAN,138000,1634.9,0,0,0,0,14,14,194,194
320744174,01,BROOKLYN,193400,2211.7,0,0,0,0,3,3,35,35
420799256,01,QUEENS,12500,402.4,5305,5305,0,0,2,2,23,23
121601123,01,MANHATTAN,45000,677,0,0,0,0,6,6,66,66
520129487,01,STATEN ISLAND,57500,402.95,0,0,0,0,2,2,22,22
420835715,01,QUEENS,6500,285.6,0,0,0,0,15,15,154,154
320517491,01,BROOKLYN,600000,6448.5,4686,4686,0,0,3,3,44,44
320744334,01,BROOKLYN,1000,280,10545,10545,0,0,4,4,55,55
320718933,01,BROOKLYN,0,260,0,0,0,75,1,0,15,0
420828331,01,QUEENS,20000,419.5,0,0,0,0,2,2,22,22
320744343,01,BROOKLYN,30000,258.75,0,0,0,0,4,4,53,53
440075151,01,QUEENS,0,160,0,0,0,0,2,2,26,26
121601212,01,MANHATTAN,170000,1964.5,0,0,0,0,18,18,185,185
420828055,01,QUEENS,8000,295.9,0,0,0,0,3,3,30,30
121600357,01,MANHATTAN,41600,646.1,0,0,0,0,6,6,66,66
420828304,01,QUEENS,200000,1514.89,1753,1753,172,0,2,2,24,25
420837857,01,QUEENS,22960,450.4,0,0,0,0,1,1,17,17
320744352,01,BROOKLYN,55000,387.5,0,0,0,0,4,4,40,40
140073373,01,MANHATTAN,0,190,0,0,0,0,6,6,67,67
121584516,01,MANHATTAN,0,420,0,0,0,25,1,0,12,0
320744236,01,BROOKLYN,3000,130,0,0,0,0,2,2,21,21
121602578,02,MANHATTAN,99000,1233.2,0,0,0,0,0,0,0,0
121603826,01,MANHATTAN,5000,265,0,0,0,0,3,3,40,40
320742808,01,BROOKLYN,175000,2456.68,5765,5765,868,0,3,3,44,44
140073364,01,MANHATTAN,100000,1373.5,0,0,0,0,8,8,64,64
420828322,01,QUEENS,20000,419.5,0,0,0,0,2,2,22,22
121507244,01,MANHATTAN,75000,986,0,0,0,0,5,5,60,60
320744147,02,BROOKLYN,8000,295.9,0,0,0,0,0,0,0,0
340054693,01,BROOKLYN,25000,441,0,0,0,0,23,23,211,211
320744218,01,BROOKLYN,77000,500.8,0,0,0,0,2,2,28,28
420828064,01,QUEENS,180000,2067.5,0,0,0,0,6,6,70,70
121600348,01,MANHATTAN,30000,522.5,0,0,0,0,5,5,50,50
320726372,01,BROOKLYN,225000,2531,0,0,0,0,4,4,53,53
420828439,01,QUEENS,17200,398.9,0,0,0,0,2,2,25,25
