custid,gender,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,purchased,ct_cov,vdays,day_mean_amt,daycov,top_prod
C2477,f,0.23,0,0,0.7,0,0,0,0,0,0.06,0,0.27,34763,6,0.2,0.11,0.69,0.11,0,0,0.13,0.42,0,0.35,6,2.371170103,5,6952.6,0.474287419,apple/sweetmelon
C2478,f,0.07,0.22,0.15,0.09,0,0,0.12,0.05,0,0.28,0.02,0.73,60911,16,0,0.52,0.48,0.2,0,0.16,0,0.06,0.26,0.32,16,1.032979525,9,6767.888889,0.735587615,banana/importedfruits
C2479,f,0.43,0.06,0.26,0,0,0,0,0,0,0.25,0,0.36,16150,5,0,0.5,0.5,0,0,0,0.44,0.43,0.06,0.06,5,1.661575613,4,4037.5,0.868838991,candy-gum
C2480,f,0,0,0.03,0.34,0,0,0,0.24,0.34,0,0.05,0.45,29280,5,0,1,0,0.27,0,0,0,0.05,0.68,0,5,1.557450589,3,9760,0.961176437,bottledfoods
C2481,f,0.11,0.82,0,0.07,0,0,0,0,0,0,0,0.27,42110,4,0.82,0.18,0,1,0,0,0,0,0,0,4,2.688580417,2,21055,0.903068219,banana/importedfruits
C2482,f,0.07,0.02,0.18,0.28,0.09,0,0.2,0.01,0.01,0.07,0.06,0.91,531976,120,0.16,0.51,0.33,0.25,0.14,0.09,0.15,0.2,0.07,0.1,120,1.012699401,68,7823.176471,0.873390485,softdrinks
C2484,f,0.05,0,0.2,0.03,0,0,0.24,0,0.23,0.09,0.16,0.64,30400,12,0,0.83,0.17,0,0.09,0.05,0.7,0,0.17,0,12,1.077771202,5,6080,0.84505148,beans
C2485,f,0.29,0,0,0,0,0,0,0,0.71,0,0,0.18,5080,2,0,1,0,0,0,0,0,0.29,0.71,0,2,2.446195299,2,2540,0.584615843,chilledseafood
C2486,f,0,0,0,0.14,0,0,0,0,0,0.76,0.11,0.27,36850,4,0.22,0.78,0,0,0,0.14,0,0.54,0.32,0,4,2.487818216,4,9212.5,0.795074333,maincereals
C2487,f,0.04,0.04,0.11,0,0.2,0,0.28,0.2,0,0.04,0.1,0.73,35650,9,0.04,0.13,0.83,0,0,0.2,0.32,0.17,0.17,0.14,9,1.049780978,8,4456.25,0.691304529,seasonings
C2488,f,0.03,0.07,0.02,0.3,0.07,0,0.16,0,0.06,0.2,0.1,0.82,389101,84,0.11,0.61,0.28,0.29,0.14,0.07,0.15,0.1,0,0.24,84,1.027629766,32,12159.40625,1.022665538,cooky/cakes
C2489,f,0.09,0.52,0,0,0.2,0,0,0,0,0.19,0,0.36,36770,14,0.1,0.25,0.65,0,0.09,0.18,0.16,0.1,0.36,0.12,14,1.78234776,8,4596.25,0.427130083,snacks
C2490,m,0,0,0,0,0,0,1,0,0,0,0,0.09,1790,1,0,1,0,0,0,1,0,0,0,0,1,3.31662479,1,1790,0,chilledlivestock
C2493,f,0,0,0,0,0.26,0,0,0,0,0,0.74,0.18,9370,3,0,0.36,0.64,0,0,0,1,0,0,0,3,2.530174406,2,4685,0.390908551,beans
C2494,m,0,0,0,0,0,0,0,0,0,1,0,0.09,2130,2,0,0,1,0,0,0,0.41,0.59,0,0,2,3.31662479,2,1065,0.245661511,chocolete
C2495,f,0.13,0,0.09,0,0,0,0,0.33,0,0.17,0.28,0.45,11680,6,0,0,1,0,0,0.17,0.41,0,0,0.42,6,1.359957713,3,3893.333333,0.42143121,beans
C2496,f,0,0,0,0,0,0,0,0.69,0,0,0.31,0.18,5780,2,0,0.31,0.69,0,0.69,0,0,0.31,0,0,2,2.413811541,2,2890,0.538281979,lattuce
C2497,f,0.58,0,0,0,0,0,0,0,0,0,0.42,0.18,3790,2,1,0,0,0,0,0,0,0,0,1,2,2.259806276,1,3790,0,beans
C2498,m,0,0,1,0,0,0,0,0,0,0,0,0.09,2100,1,0,1,0,0,0,0,0,0,0,1,1,3.31662479,1,2100,0,ramen
C2499,f,0,0,0,0.81,0,0,0,0.13,0,0.06,0,0.27,15890,4,0,0,1,0,1,0,0,0,0,0,4,2.666917298,2,7945,0.702211769,mandarinorange/watermelonandotherfruits
