"","custid","ct_dairy","ct_drink","ct_fastfood","ct_fruite","ct_house_prod","ct_makeup","ct_meat","ct_sauce","ct_seafood","ct_snack","ct_vegetable","coverage","g_paid","buyed_prod_num","hf_6-11","hf_12-17","hf_18-23","wdf_Sun","wdf_Mon","wdf_Tue","wdf_Wed","wdf_Thu","wdf_Fri","wdf_Sat","purchase","ct_cov","vdays","day_mean_amt","daycov","top_prod"
"1022","C1204",0.06,0,0,0.41,0,0,0.15,0.04,0.15,0.02,0.16,0.64,244264,49,0.47,0.27,0.26,0.3,0,0.13,0.16,0.26,0.01,0.13,21,1.36194653866738,33,7401.93939393939,0.799317505954221,"lattuce"
"1023","C1205",0.05,0.01,0,0.14,0.1,0,0.11,0.01,0,0.57,0.01,0.73,181820,21,0.59,0.41,0,0.03,0.05,0.32,0.3,0.02,0.26,0.02,15,1.82040410489032,15,12121.3333333333,1.12257820263941,"milk"
"1024","C1206",0,0.35,0.35,0,0.04,0,0,0,0,0.25,0,0.36,22260,10,0,0,1,0,0.21,0,0,0.79,0,0,7,1.63632503423149,4,5565,0.696531282918557,"ramen"
"1025","C1207",0.15,0,0,0.42,0.17,0,0,0,0.13,0,0.14,0.45,47430,6,0,0.68,0.32,0,0,0.15,0,0.68,0.17,0,6,1.43552365260825,3,15810,0.912038851524753,"beans"
"1026","C1208",0,0,0,0,0,0,0,0,0,0,1,0.09,1390,1,0,1,0,0,0,0,0,1,0,0,1,3.3166247903554,1,1390,0,"mushrooms"
"1027","C1209",0,0.34,0,0,0.42,0,0,0.08,0,0,0.17,0.36,35820,4,0,1,0,0,0.08,0,0,0.92,0,0,4,1.66876785641343,3,11940,0.755512128900554,"artificialpowders"
"1028","C1210",0.72,0,0.28,0,0,0,0,0,0,0,0,0.18,3600,2,0,1,0,0,1,0,0,0,0,0,2,2.47892350192479,1,3600,0,"bottledfoods"
"1029","C1211",0.15,0.22,0,0.53,0,0,0,0,0,0.05,0.06,0.45,108140,21,0,0.43,0.57,0.21,0.07,0.09,0.09,0.02,0.45,0.06,8,1.78349816975046,15,7209.33333333333,0.534464046242151,"apple/sweetmelon"
"1030","C1212",0.09,0.28,0.13,0.26,0,0,0,0.07,0.06,0.11,0,0.64,101566,17,0,0,1,0.33,0.32,0.06,0.11,0,0,0.17,13,1.10331228309271,7,14509.4285714286,0.664172973937868,"harddrinks"
"1031","C1213",0,0,0.24,0,0,0,0,0.54,0,0.14,0.08,0.36,36740,6,0.05,0.11,0.84,0.14,0,0.73,0.08,0,0.05,0,5,1.85072035596756,5,7348,1.17833407903016,"ketchupandmayoneise"
